index,y_true,y_pred,AUC,Accuracy,Precision,Recall,F1
1,True,True,-0.0,1.0,1.0,1.0,1.0
2,True,True,-0.0,1.0,1.0,1.0,1.0
3,True,True,-0.0,1.0,1.0,1.0,1.0
4,False,True,0.5,0.75,0.75,1.0,0.8571428571428571
5,False,True,0.75,0.6,0.6,1.0,0.7499999999999999
6,True,True,0.5625,0.6666666666666666,0.6666666666666666,1.0,0.8
7,True,True,0.44999999999999996,0.7142857142857143,0.7142857142857143,1.0,0.8333333333333333
8,False,True,0.5666666666666667,0.625,0.625,1.0,0.7692307692307693
9,True,True,0.49999999999999994,0.6666666666666666,0.6666666666666666,1.0,0.8
10,False,True,0.5208333333333333,0.6,0.6,1.0,0.7499999999999999
11,True,True,0.46428571428571425,0.6363636363636364,0.6363636363636364,1.0,0.7777777777777778
12,True,True,0.453125,0.6666666666666666,0.6666666666666666,1.0,0.8
13,True,True,0.4444444444444444,0.6923076923076923,0.6923076923076923,1.0,0.8181818181818181
14,False,False,0.5555555555555555,0.7142857142857143,0.6923076923076923,1.0,0.8181818181818181
15,True,True,0.5700000000000001,0.7333333333333333,0.7142857142857143,1.0,0.8333333333333333
16,True,True,0.5363636363636363,0.75,0.7333333333333333,1.0,0.846153846153846
17,True,True,0.55,0.7647058823529411,0.75,1.0,0.8571428571428571
18,False,True,0.5486111111111112,0.7222222222222222,0.7058823529411765,1.0,0.8275862068965517
19,False,False,0.6130952380952381,0.7368421052631579,0.7058823529411765,1.0,0.8275862068965517
20,False,True,0.6510416666666666,0.7,0.6666666666666666,1.0,0.8
21,False,True,0.6805555555555556,0.6666666666666666,0.631578947368421,1.0,0.7741935483870968
22,False,False,0.7124999999999999,0.6818181818181818,0.631578947368421,1.0,0.7741935483870968
23,False,True,0.7310606060606061,0.6521739130434783,0.6,1.0,0.7499999999999999
24,False,False,0.7534722222222222,0.6666666666666666,0.6,1.0,0.7499999999999999
25,False,False,0.7724358974358974,0.68,0.6,1.0,0.7499999999999999
26,True,True,0.7721893491124261,0.6923076923076923,0.6190476190476191,1.0,0.7647058823529412
27,False,False,0.7884615384615384,0.7037037037037037,0.6190476190476191,1.0,0.7647058823529412
28,False,False,0.8025641025641026,0.7142857142857143,0.6190476190476191,1.0,0.7647058823529412
29,False,False,0.8149038461538461,0.7241379310344828,0.6190476190476191,1.0,0.7647058823529412
30,False,False,0.8257918552036199,0.7333333333333333,0.6190476190476191,1.0,0.7647058823529412
31,False,False,0.8354700854700855,0.7419354838709677,0.6190476190476191,1.0,0.7647058823529412
32,False,False,0.8441295546558705,0.75,0.6190476190476191,1.0,0.7647058823529412
33,False,False,0.8519230769230769,0.7575757575757576,0.6190476190476191,1.0,0.7647058823529412
34,True,True,0.8517857142857143,0.7647058823529411,0.6363636363636364,1.0,0.7777777777777778
35,True,False,0.8166666666666668,0.7428571428571429,0.6363636363636364,0.9333333333333333,0.7567567567567568
36,True,False,0.7765624999999998,0.7222222222222222,0.6363636363636364,0.875,0.7368421052631579
37,True,True,0.7705882352941177,0.7297297297297297,0.6521739130434783,0.8823529411764706,0.75
38,False,False,0.7801120448179272,0.7368421052631579,0.6521739130434783,0.8823529411764706,0.75
39,False,True,0.7740641711229946,0.717948717948718,0.625,0.8823529411764706,0.7317073170731708
40,False,False,0.7838874680306905,0.725,0.625,0.8823529411764706,0.7317073170731708
41,False,False,0.7879901960784315,0.7317073170731707,0.625,0.8823529411764706,0.7317073170731708
42,True,True,0.7881944444444444,0.7380952380952381,0.64,0.8888888888888888,0.7441860465116279
43,True,True,0.7883771929824561,0.7441860465116279,0.6538461538461539,0.8947368421052632,0.7555555555555555
44,True,True,0.7927083333333333,0.75,0.6666666666666666,0.9,0.7659574468085106
45,False,False,0.8009999999999999,0.7555555555555555,0.6666666666666666,0.9,0.7659574468085106
46,False,False,0.8076923076923077,0.7608695652173914,0.6666666666666666,0.9,0.7659574468085106
47,True,True,0.8141025641025641,0.7659574468085106,0.6785714285714286,0.9047619047619048,0.7755102040816326
48,True,True,0.8138111888111889,0.7708333333333334,0.6896551724137931,0.9090909090909091,0.7843137254901961
49,False,False,0.8207070707070707,0.7755102040816326,0.6896551724137931,0.9090909090909091,0.7843137254901961
50,True,False,0.8164251207729468,0.76,0.6896551724137931,0.8695652173913043,0.7692307692307693
51,False,False,0.8167701863354035,0.7647058823529411,0.6896551724137931,0.8695652173913043,0.7692307692307693
52,False,False,0.8223388305847076,0.7692307692307693,0.6896551724137931,0.8695652173913043,0.7692307692307693
53,True,True,0.8225574712643678,0.7735849056603774,0.7,0.875,0.7777777777777777
54,True,True,0.8255172413793103,0.7777777777777778,0.7096774193548387,0.88,0.7857142857142856
55,True,False,0.8216180371352786,0.7636363636363637,0.7096774193548387,0.8461538461538461,0.7719298245614036
56,False,False,0.8269230769230769,0.7678571428571429,0.7096774193548387,0.8461538461538461,0.7719298245614036
57,False,False,0.8325062034739453,0.7719298245614035,0.7096774193548387,0.8461538461538461,0.7719298245614036
58,True,True,0.8327359617682196,0.7758620689655172,0.71875,0.8518518518518519,0.7796610169491525
59,True,False,0.8294930875576036,0.7627118644067796,0.71875,0.8214285714285714,0.7666666666666666
60,True,True,0.8320355951056729,0.7666666666666667,0.7272727272727273,0.8275862068965517,0.7741935483870968
61,True,True,0.8344086021505376,0.7704918032786885,0.7352941176470589,0.8333333333333334,0.78125
62,False,False,0.8380208333333333,0.7741935483870968,0.7352941176470589,0.8333333333333334,0.78125
63,True,True,0.8351814516129031,0.7777777777777778,0.7428571428571429,0.8387096774193549,0.787878787878788
64,False,False,0.8401759530791788,0.78125,0.7428571428571429,0.8387096774193549,0.787878787878788
65,False,False,0.842979127134725,0.7846153846153846,0.7428571428571429,0.8387096774193549,0.787878787878788
66,True,False,0.831341911764706,0.7727272727272727,0.7428571428571429,0.8125,0.7761194029850748
67,True,True,0.8337789661319073,0.7761194029850746,0.75,0.8181818181818182,0.7826086956521738
68,False,False,0.8329004329004329,0.7794117647058824,0.75,0.8181818181818182,0.7826086956521738
69,True,True,0.8352941176470587,0.782608695652174,0.7567567567567568,0.8235294117647058,0.7887323943661971
70,False,False,0.8382352941176471,0.7857142857142857,0.7567567567567568,0.8235294117647058,0.7887323943661971
